Code,Open,High,Low,Close,Volume,Datetime
KRW-WAXP,257,259,256,256,297756.22730791,2021-03-20T22:45:00Z
KRW-WAXP,256,259,256,258,204950.81407215,2021-03-20T22:48:00Z
KRW-WAXP,258,262,258,260,168118.64545629,2021-03-20T22:51:00Z
KRW-WAXP,261,262,259,259,294107.77134855,2021-03-20T22:54:00Z
KRW-WAXP,259,268,258,260,287974.5002973,2021-03-20T22:57:00Z
KRW-WAXP,260,260,259,259,109217.11339328,2021-03-20T23:00:00Z
KRW-WAXP,259,261,258,259,168094.35683697,2021-03-20T23:03:00Z
KRW-WAXP,259,259,257,257,121768.15378489,2021-03-20T23:06:00Z
KRW-WAXP,257,259,256,257,382003.2916144,2021-03-20T23:09:00Z
KRW-WAXP,257,259,257,258,92250.99659525,2021-03-20T23:12:00Z
KRW-WAXP,258,259,257,258,103845.99364424,2021-03-20T23:15:00Z
KRW-WAXP,258,260,257,259,107945.09878449,2021-03-20T23:18:00Z
KRW-WAXP,259,259,257,258,231622.64984373,2021-03-20T23:21:00Z
KRW-WAXP,257,258,256,257,364682.4258297,2021-03-20T23:24:00Z
KRW-WAXP,257,259,257,258,149063.97797685,2021-03-20T23:27:00Z
KRW-WAXP,257,259,255,258,261094.9741731,2021-03-20T23:30:00Z
KRW-WAXP,258,258,256,256,134659.39761846,2021-03-20T23:33:00Z
KRW-WAXP,255,256,253,253,804373.19520063,2021-03-20T23:36:00Z
KRW-WAXP,253,254,249,250,1352998.83595144,2021-03-20T23:39:00Z
KRW-WAXP,250,250,245,246,1066548.37776536,2021-03-20T23:42:00Z
KRW-WAXP,246,251,244,249,525388.00691262,2021-03-20T23:45:00Z
KRW-WAXP,250,254,250,252,366021.28751,2021-03-20T23:48:00Z
KRW-WAXP,252,254,250,251,433989.5218122,2021-03-20T23:51:00Z
KRW-WAXP,251,254,250,253,178332.41262799,2021-03-20T23:54:00Z
KRW-WAXP,253,254,250,251,292986.29331371,2021-03-20T23:57:00Z
KRW-WAXP,251,261,251,259,348458.49535563,2021-03-21T00:00:00Z
KRW-WAXP,257,264,251,258,1768850.56388537,2021-03-21T00:03:00Z
KRW-WAXP,258,269,256,266,1293298.59624498,2021-03-21T00:06:00Z
KRW-WAXP,265,268,258,259,859847.87123551,2021-03-21T00:09:00Z
KRW-WAXP,260,261,257,258,267683.7828134,2021-03-21T00:12:00Z
KRW-WAXP,258,262,257,262,309774.67847727,2021-03-21T00:15:00Z
KRW-WAXP,262,264,260,263,367235.91750987,2021-03-21T00:18:00Z
KRW-WAXP,263,263,260,262,281834.744018,2021-03-21T00:21:00Z
KRW-WAXP,262,263,261,261,117680.33320415,2021-03-21T00:24:00Z
KRW-WAXP,261,265,261,262,283009.99563217,2021-03-21T00:27:00Z
KRW-WAXP,262,265,262,264,222038.11665088,2021-03-21T00:30:00Z
KRW-WAXP,264,264,261,261,265108.43197516,2021-03-21T00:33:00Z
KRW-WAXP,261,261,258,260,283274.94771556,2021-03-21T00:36:00Z
KRW-WAXP,258,260,257,257,181780.16869591,2021-03-21T00:39:00Z
KRW-WAXP,257,260,257,260,219123.83182229,2021-03-21T00:42:00Z
KRW-WAXP,260,261,259,261,126253.29469094,2021-03-21T00:45:00Z
KRW-WAXP,261,261,259,260,132009.2426316,2021-03-21T00:48:00Z
KRW-WAXP,260,261,259,260,203524.61327735,2021-03-21T00:51:00Z
KRW-WAXP,260,260,258,259,330855.98402498,2021-03-21T00:54:00Z
KRW-WAXP,258,259,256,256,251756.78448311,2021-03-21T00:57:00Z
KRW-WAXP,258,258,254,255,291623.02999692,2021-03-21T01:00:00Z
KRW-WAXP,253,255,250,250,739298.09508677,2021-03-21T01:03:00Z
KRW-WAXP,251,255,250,254,214911.53671632,2021-03-21T01:06:00Z
KRW-WAXP,254,255,253,254,179599.60628063,2021-03-21T01:09:00Z
KRW-WAXP,253,256,253,256,76013.88076294,2021-03-21T01:12:00Z
KRW-WAXP,256,256,254,255,232404.30782852,2021-03-21T01:15:00Z
